,Collage,Private,Room.Board,Grad.Rate,Outstate_Tier,Apps_transformed_scaled,Top10perc_transformed_scaled,P.Undergrad_transformed_scaled,Outstate_transformed_scaled,Books_transformed_scaled,Personal_transformed_scaled,Terminal_transformed_scaled,S.F.Ratio_transformed_scaled,perc.alumni_transformed_scaled,Expend_transformed_scaled,Accept_Rate_scaled,Private_Encoded_scaled
10,Alfred University,Yes,5406,73,High,0.06748238366850262,0.7226458157909561,-0.6681269626758215,1.4088462913452762,-0.22919460395165178,-1.401605755600841,0.5124477851823425,-0.678954128340758,0.7487430981377603,0.6391260070099793,0.5157537502634537,0.6125530498969481
11,Allegheny College,Yes,4440,76,High,0.4590003826812997,1.0296888476949617,-1.1623087972167594,1.5045123674303467,-1.0385747644227592,-1.401605755600841,0.7816568116943878,-1.073921779837255,1.1929497028195202,0.7928286551963443,-0.20738347780626848,0.6125530498969481
12,Allentown Coll. of St. Francis de Sales,Yes,4785,74,Low,-0.29654226039655834,0.7690207208177241,0.41483806671218076,-0.06128994440166302,0.4496014388117548,-0.3812772017711419,0.17590711389826055,-0.14633148248231934,0.13667737956055104,-0.1552298965787334,-0.5805764736347528,0.6125530498969481
13,Alma College,Yes,4552,68,Medium,-0.22763264605805114,1.0296888476949617,-1.3900837948934834,0.6203160478629939,-1.0385747644227592,-2.184436020520695,0.42593464953116233,0.35589122750062596,0.7990089285165864,0.2560513072365303,0.7175029449852314,0.6125530498969481
14,Alverno College,Yes,3640,55,Low,-1.158434976205304,-0.053119072030679226,0.8728931154724833,-0.423838629267007,0.7526774067369609,1.5036970035839832,-0.8700943318940553,-0.7341609556836688,0.47121122188858366,-0.09264109665670539,-0.7708663600093951,0.6125530498969481
15,American International College,Yes,4780,69,Low,-0.11923450915941754,-1.3330274833513371,-0.10067963175366555,-0.3260722857638831,-0.6142542984789046,0.312205196159577,0.17590711389826055,0.20805976907672355,-0.019012808716357025,-0.3666623052432525,0.15502838090331927,0.6125530498969481
16,Amherst College,Yes,5300,100,High,0.889099596512538,2.2780860366648286,-2.170690908036451,1.9588219700106189,0.8108421980583806,0.589610906138957,1.467641878959388,-1.522121468807633,1.8810063596964015,1.9215286604499788,-3.512278049067009,0.6125530498969481
17,Anderson University,Yes,3520,59,Medium,-0.26691812656526465,-0.33923404372499044,-0.11376894624033435,0.04316040253595514,0.12366360001576766,-0.1865912067306211,-1.2983753500580535,-0.46182603876526157,-0.488944521318963,-0.1369244031402514,-0.0014773287692968597,0.6125530498969481
18,Andrews University,Yes,3090,46,Low,-0.3373470674162871,-0.7684736752694479,-0.021159140006868575,0.01693332675919217,2.0175449906937217,0.18968183158858262,-1.0407110988557453,-0.624126161709994,-0.10280094841912382,0.6341232956602996,-0.8429325116318768,0.6125530498969481
19,Angelo State University,No,3592,34,Low,0.7175926868986046,0.012544204192919675,1.0193220410253425,-1.4912463226655417,-0.22919460395165178,1.0664517666812061,-1.2494530951634284,2.108250754738143,-1.9857151375821298,-2.392452687321875,-1.2357963684675608,-1.6325116659989423
20,Antioch University,Yes,3336,48,High,-0.7881977335472867,0.0762022459001068,-1.4860814376784814,1.2097543255002767,-1.0385747644227592,-0.1865912067306211,0.017034841871698108,-0.678954128340758,0.9411429344911897,2.83599568591311,1.2253721686672496,0.6125530498969481
21,Appalachian State University,No,2540,70,Low,1.3437272780440974,-0.26378841421379556,0.7474276315958317,-0.8939510962294314,-5.699556150931114,1.0664517666812061,1.2632379969775114,1.0636508731902286,-0.488944521318963,-1.0519687050520774,-0.7425339967163727,-1.6325116659989423
22,Aquinas College,Yes,4124,65,Medium,-0.9296724983030666,-0.26378841421379556,0.5395560299649557,0.31216472861049177,-1.5119094043589478,0.6119203357285091,-1.094880026424442,-0.3026284436876267,0.4095619963667674,-0.6885530095696798,0.5895880059066398,0.6125530498969481
23,Arizona State University Main campus,No,4850,48,Low,1.8053048750382348,0.012544204192919675,2.2971153370827175,-0.695292884195417,1.0360807080301793,1.17118506706147,0.9692990979140862,1.199612364107489,-1.9857151375821298,-1.87245884240635,0.39330153654403927,-1.6325116659989423
24,Arkansas College (Lyon College),Yes,3922,54,Low,-0.7952056021137309,1.1106782881401172,-0.3768961089318736,-0.34162914293415503,-0.22919460395165178,-0.8317407990918481,0.5124477851823425,-0.32895477682173185,0.34549454598816776,1.2454681517793147,-1.871830079986632,0.6125530498969481
25,Arkansas Tech University,No,2650,48,Low,0.06855942366930161,-0.9727316677869279,0.6792289379186933,-2.2324617327877827,-0.6142542984789046,-0.3812772017711419,-1.3460179845367914,1.3561294433902293,-1.9857151375821298,-1.7666101753092334,1.7018576991796808,-1.6325116659989423
26,Assumption College,Yes,5920,88,Medium,0.26123962574723786,-0.053119072030679226,0.4666461901064974,0.49390607097334976,-0.22919460395165178,-1.7565250579131289,0.9692990979140862,-0.01816912301826551,0.696881263144984,-0.467138848614386,0.3355246525831801,0.6125530498969481
27,Auburn University-Main Campus,No,3933,69,Low,1.3702785934047201,0.0762022459001068,1.1124020592964765,-1.062970989725606,0.4496014388117548,0.9657230697457883,0.7816568116943878,0.6923240937679698,-0.10280094841912382,-0.6623477640253806,1.0392600991794334,-1.6325116659989423
28,Augsburg College,Yes,4372,58,Medium,-0.8622838786335913,-0.9727316677869279,0.5021112662631992,0.47185358758299023,0.05539420530459683,-0.48548409267976533,-1.094880026424442,-0.27638263533977814,0.7487430981377603,-0.1910317287679385,0.19044222201896147,0.6125530498969481
29,Augustana College IL,Yes,4173,71,High,0.14328635277136367,0.6753287453312369,-1.237306247971012,0.7869534898148399,0.05539420530459683,-0.7798144878972981,0.09569733284866458,-0.3026284436876267,1.1535860970634626,0.23321172569715234,0.9214152171455692,0.6125530498969481
30,Augustana College,Yes,3244,69,Medium,-0.723488641636537,-0.19109950858549554,-0.07314506384833169,0.260666106604684,0.4496014388117548,-0.3389427463734454,-0.8104772611976783,-0.9305096236198228,0.696881263144984,-0.562234398024972,1.3996816360153455,0.6125530498969481
31,Austin College,Yes,4342,71,Medium,-0.5075090324304675,0.9459121453121654,-1.6883580068917183,0.3290287683226806,-1.0385747644227592,-0.09532026038541022,1.1635803366973685,-0.22412911897517035,0.8477740600370556,0.7257832507644782,0.6451598036797981,0.6125530498969481
32,Averett College,Yes,4135,48,Low,-0.9167620943759419,-0.5849046607537622,0.30138314592390336,-0.0010748264645523452,1.3023649764046783,0.23641393781517522,-0.9851988400469104,1.9615837552373685,-0.8534518760234878,-0.7165006291979548,0.9511964327113076,0.6125530498969481
33,Baker University,Yes,4100,65,Low,-0.9577117377063582,-0.19109950858549554,0.20724118805424385,-0.34831663767906657,-1.0385747644227592,1.319933419812853,-0.9283307329438812,-0.7619093999483368,0.13667737956055104,-0.9036897818932643,0.3768326308712091,0.6125530498969481
34,Baldwin-Wallace College,Yes,4410,85,Medium,0.04455113927364182,0.36877700770497224,0.9937885450977619,0.2618547522692281,2.4385556153715937,-0.3812772017711419,-0.5579571392876599,0.9028169700855423,0.060686441260878146,-0.10617250445475211,0.4173637074421859,0.6125530498969481
35,Barat College,Yes,4300,71,Low,-1.8261859838092958,-0.6744109272506594,-0.14762845649391335,-0.06128994440166302,-0.22919460395165178,-1.7565250579131289,-0.3534735225728778,-1.1320725358242625,0.9411429344911897,0.26456654599759,-0.07683547168872246,0.6125530498969481
36,Bard College,Yes,6206,79,High,0.1584590373676194,1.2651043449994013,-1.6883580068917183,1.8779380838164197,1.3023649764046783,-0.9606431574678058,1.467641878959388,-0.9305096236198228,0.696881263144984,1.150582615517154,-2.09635990984827,0.6125530498969481
37,Barnard College,Yes,8124,91,High,0.40402576072111823,1.3749937779595973,-0.9252445141562528,1.6526907612293122,0.4496014388117548,-0.7100928488101279,0.9692990979140862,-0.9589736432806002,0.8477740600370556,0.9466907792604167,-1.2599820566031195,0.6125530498969481
38,Barry University,Yes,5360,72,Medium,-0.4653031322549052,-0.4176946998854469,1.5741815572673294,0.33136539791935316,0.4496014388117548,0.8415717373961827,-0.2823735232374524,-0.32895477682173185,-0.8534518760234878,0.19598482610707021,0.30604530939689767,0.6125530498969481
39,Baylor University,Yes,3920,72,Low,1.1867954473128413,0.5776799288914051,0.2319451248123564,-1.0119640772693328,0.4496014388117548,0.23023887595729364,-0.42309620655881086,1.1091614423902687,1.0718935453228027,-0.310775805860734,0.9085560258813842,0.6125530498969481
40,Beaver College,Yes,5400,73,Medium,-0.3096630155647845,-0.053119072030679226,0.2776982439626945,0.680391112000398,-1.0385747644227592,-0.8317407990918481,0.6005650532112241,-0.43508339754859443,0.696881263144984,0.15958778625126094,-0.1092398336151793,0.6125530498969481
41,Bellarmine College,Yes,2950,84,Low,-0.6654593239812802,0.814496291254933,0.3792880943109694,-0.28746582809359006,1.3023649764046783,0.14195578669882186,0.017034841871698108,-0.19811971386291968,0.7487430981377603,-0.6507148514205863,0.8785608716883411,0.6125530498969481
42,Belmont Abbey College,Yes,4850,52,Low,-0.908782513978436,-0.4994689411839058,-0.5687111330584816,-0.24383287267735948,-2.048308048513365,1.5310702281670892,0.257675656251106,-0.17218743851993387,-0.9955858819980911,-0.29338243409992,0.23616110930551232,0.6125530498969481
43,Belmont University,Yes,3664,49,Low,-0.26377358194706196,0.25645415555414425,0.39888957075131226,-0.5845619581984871,0.7526774067369609,-0.5948985251698026,-1.2983753500580535,-0.7341609556836688,-0.019012808716357025,-0.269964585817989,0.3498620405629711,0.6125530498969481
44,Beloit College,Yes,3616,69,High,-0.18856465956975246,0.13799295441079087,-0.838179008436299,1.3642928024927292,-1.4620140067894487,-1.055698665537674,1.1635803366973685,-0.7341609556836688,0.47121122188858366,1.0084419148858705,-0.32436931824763443,0.6125530498969481
45,Bemidji State University,No,2700,46,Low,-0.2732406406363946,-0.9727316677869279,0.5887221256003548,-1.7812796411011482,0.8108421980583806,0.8415717373961827,-1.2494530951634284,1.3561294433902293,-0.28448920152158647,-2.657835353557468,-0.14240146751948335,-1.6325116659989423
46,Benedictine College,Yes,3850,58,Low,-0.908782513978436,-0.7684736752694479,0.25452777986226505,-0.0976199887575313,-1.5119094043589478,-3.062920596744526,0.17590711389826055,0.05786129345554121,-0.10280094841912382,-1.015218906953537,1.5923146748623527,0.6125530498969481
47,Bennington College,Yes,4100,55,High,-1.1080463869533932,0.0762022459001068,-2.534804345075497,2.262956624667322,0.4496014388117548,-1.7565250579131289,-1.392393977623881,-1.0162263078285307,0.8477740600370556,1.4633422065398631,-0.794983454211281,0.6125530498969481
48,Bentley College,Yes,5510,82,High,0.6988613218762789,-0.26378841421379556,1.0294098539172043,0.8794605502331129,0.6339700077405098,-0.7100928488101279,0.42593464953116233,0.8796391417393978,0.060686441260878146,0.6409976588717349,-0.5080160334240953,0.6125530498969481
49,Berry College,Yes,3940,63,Low,0.13285471362428022,0.7226458157909561,-1.1065527913653308,-0.5108746975091976,-1.5119094043589478,1.4370347749246764,-0.13569442115241218,0.5973594417391942,-0.1911203270674524,0.5488289868373287,-0.6106383516830006,0.6125530498969481
50,Bethany College,Yes,3363,48,Low,-0.5825186966500836,-0.5849046607537622,-0.9825675695179336,-0.31500047697142175,0.12366360001576766,0.7203062079932,-0.9283307329438812,-0.5968513856813776,0.643318740239679,-0.23255110106699659,1.2411279287757164,0.6125530498969481
51,Bethel College KS,Yes,3580,56,Low,-2.103230593324403,-0.33923404372499044,-0.716077060923525,-0.3706970294107876,-0.22919460395165178,0.312205196159577,-0.13569442115241218,-1.399752250312407,0.7990089285165864,-0.029063686328074535,1.1153271407249636,0.6125530498969481
52,Bethel College,Yes,2900,35,Low,-1.1420185183626759,-1.0845174670653988,-0.887426820060898,-1.0974203986303772,0.4496014388117548,-0.8317407990918481,-1.199238322126377,-0.5696679334896112,-0.601645107695158,-0.26669579069773836,0.12252653810695363,0.6125530498969481
53,Bethune Cookman College,Yes,3396,58,Low,0.019862731360735665,-0.9727316677869279,-0.8314593967701942,-1.4685821193413773,0.7526774067369609,1.5485627320659798,-1.8227310098814986,-0.01816912301826551,-1.1512760702749985,-0.5853739127888282,-0.3283078312388014,0.6125530498969481
54,Birmingham-Southern College,Yes,4325,72,Medium,-0.6679077542812659,1.8339863950842885,-0.30009653988082147,0.41688160910881844,-1.0385747644227592,-0.5948985251698026,-0.2097844047463471,0.03258838544133442,0.8951255085680089,0.07090393487112522,-0.11218972375194472,0.6125530498969481
55,Blackburn College,Yes,2700,51,Low,-1.1460961832899983,0.0762022459001068,-1.407972650027876,-0.9951351141622935,-0.22919460395165178,-0.3812772017711419,-0.42309620655881086,0.10819887684225507,1.6034744834472257,-0.012353858488995792,-0.5096802992566043,0.6125530498969481
56,Bloomsburg Univ. of Pennsylvania,No,2948,75,Low,1.2790783538152781,-0.6744109272506594,0.6844093815412563,-0.5714816336528201,-0.22919460395165178,0.6952627029457159,-0.9283307329438812,0.9950204859927356,-0.019012808716357025,-0.491182698433797,-2.039725437615475,-1.6325116659989423
57,Bluefield College,Yes,4350,53,Low,-1.4375425749292845,-0.6744109272506594,-0.5775343946618571,-0.7837089911468504,-0.6142542984789046,0.4565508868862356,-0.9851988400469104,0.9490194931800559,-2.6480466865381658,-0.8422634873250932,1.3786509704998542,0.6125530498969481
58,Bluffton College,Yes,3990,58,Low,-0.8179928307605425,-0.26378841421379556,-0.838179008436299,-0.007435867506013141,-1.0385747644227592,-0.5948985251698026,-0.7494672137091747,-0.14633148248231934,-0.019012808716357025,0.1929362555265264,-0.02825088508005347,0.6125530498969481
59,Boston University,Yes,6810,72,High,2.1665139084615834,1.0705183742130722,1.5664000340843391,1.737100482725841,-0.41730816701513435,-0.3309705579009963,-0.06009188335680806,-0.51557069273364,-0.28448920152158647,1.514919944956341,-0.699015309415438,0.6125530498969481
60,Bowdoin College,Yes,5885,96,High,0.6702093992787643,2.092417481864056,-1.970731760017316,1.8393036935744658,4.09895898173997,-0.6517337337581381,1.2632379969775114,-0.7065095991630397,1.5729406861767377,1.846869792444095,-3.0154054508501797,0.6125530498969481
61,Bowling Green State University,No,3352,67,Low,1.5396129266227723,-0.7684736752694479,0.8600279544133584,-0.6897643746874386,0.4496014388117548,0.7203062079932,0.6005650532112241,1.6843804232693964,-0.488944521318963,-0.5423215742329045,0.3111597547912219,-1.6325116659989423
62,Bradford College,Yes,6270,46,High,-1.2702953316648327,-1.9916231295773121,-1.186224667229641,0.9364079032146704,-0.22919460395165178,-0.5948985251698026,-0.13569442115241218,-0.9875453814266569,0.13667737956055104,1.3489179441455508,-0.013650259089188311,0.6125530498969481
63,Bradley University,Yes,4440,85,Medium,0.7725344589798321,0.36877700770497224,0.4200791863579128,0.23203139392723857,5.355379168407231,0.4871077983874899,-0.06009188335680806,0.1332649014169348,0.13667737956055104,-0.24936222050969956,1.0840392376190466,0.6125530498969481
64,Brandeis University,Yes,6750,84,High,0.865199010283177,1.1890885687490678,-0.9825675695179336,1.8969759442579628,-0.9501505503982628,-0.3812772017711419,1.3645882269351624,-1.1029394439418763,0.34549454598816776,1.5480135052741433,-0.6234180362101066,0.6125530498969481
65,Brenau University,Yes,5879,49,Low,-1.465604217527803,-0.9727316677869279,0.22516710137176538,-0.08668444609191188,-0.22919460395165178,-1.0977621252034493,-0.13569442115241218,-0.043655143285562414,-0.7227012651918747,-1.0082672446914005,-0.0022699379670338736,0.6125530498969481
66,Brewton-Parker College,Yes,2370,18,Low,-0.10862941139826705,-1.204141438433242,0.5870496469262881,-1.804713290692213,-0.22919460395165178,1.0664517666812061,-1.2494530951634284,-0.32895477682173185,-0.9955858819980911,-1.6480951708121918,0.7361816506318815,0.6125530498969481
67,Briar Cliff College,Yes,3597,58,Medium,-1.396913337951464,-0.5849046607537622,0.15513897741571583,0.0831655239039672,0.4496014388117548,0.4565508868862356,-1.0407110988557453,-0.19811971386291968,0.47121122188858366,-0.0192701651579478,1.0100077259975677,0.6125530498969481
68,Bridgewater College,Yes,4725,82,Medium,-0.6283199062642012,-0.12094221917214981,-1.0460501389834254,0.08440905856326472,0.19086001172443928,-0.6517337337581381,-0.6232192944825511,-0.17218743851993387,0.34549454598816776,0.07269489588864379,0.3821183120083568,0.6125530498969481
69,Brigham Young University at Provo,Yes,3580,33,Low,1.349680553938893,1.1890885687490678,0.8832664435062875,-2.8758263399497803,1.837638387681267,0.026470901546871917,-0.42309620655881086,1.5542060570289637,1.1535860970634626,-0.16342743253504793,-0.09154933203745326,0.6125530498969481
70,Brown University,Yes,5926,97,High,1.7911253315794544,2.379000709104455,0.02180191230527187,1.921157253479751,1.14452306768254,-0.1865912067306211,1.6789026453905742,-1.7738881670636384,1.113250452842285,1.8463150903123569,-3.330255374698259,0.6125530498969481
71,Bryn Mawr College,Yes,6750,89,High,-0.08972687212285864,1.9518471386888567,-1.6583617630196459,1.693716940289576,-0.22919460395165178,-0.00765221982654528,1.6789026453905742,-0.4084259016153425,1.4777578075468099,1.5786689754045637,-1.3198265587657974,0.6125530498969481
72,Bucknell University,Yes,4750,93,High,1.2504909446247767,1.2273850455284772,-1.339674893387824,1.7590658560554309,1.5536080298286021,-0.00765221982654528,1.3645882269351624,0.08306456383049592,0.9858994490492295,1.1187099133305651,-1.1197426097672865,0.6125530498969481
73,Buena Vista College,Yes,3797,78,High,-0.6028462066853543,0.47565884296982563,0.17292932385184567,0.7771092410121851,-0.6142542984789046,-0.48548409267976533,-0.8700943318940553,-1.399752250312407,-0.9955858819980911,-0.8061972791490072,0.36101334232503157,0.6125530498969481
74,Butler University,Yes,4650,83,High,0.35377640975641417,0.8591123720558881,-0.49825840795371323,0.7400414030092264,-0.22919460395165178,0.5922469197789696,-0.06009188335680806,-0.7897561601567331,0.643318740239679,0.3100924077000789,0.7855087473351297,0.6125530498969481
75,Cabrini College,Yes,6250,71,Medium,-0.9627479374787361,-1.4730544512765091,0.17876278058383469,0.14681933353138005,-2.048308048513365,-2.725770466958715,-0.42309620655881086,0.644953727665646,0.9858994490492295,-0.46026806871076864,0.5290833795668957,0.6125530498969481
76,Caldwell College,Yes,4600,55,Low,-0.4449148326110543,-0.4994689411839058,0.624620873553458,-0.2710431407660908,-0.8209747620312198,-0.3812772017711419,1.2632379969775114,0.0072451478867492135,0.4095619963667674,-0.16137445797315,-1.0169390083481804,0.6125530498969481
77,California Lutheran University,Yes,5300,60,Medium,-1.02538305013687,-0.053119072030679226,0.15813485851786388,0.7017919204959061,0.5242920894959361,-1.4814896984440742,-0.5579571392876599,-0.3818525909118409,-0.1911203270674524,0.16834078692161691,-2.0965117284135446,0.6125530498969481
78,California Polytechnic-San Luis,No,4877,59,Low,1.3989615769398307,1.1501937769220463,0.9653575739583254,-0.711931360965221,0.5242920894959361,1.1619503468587862,-0.06009188335680806,1.400447170935885,-0.601645107695158,0.01132488488397487,-1.7567460650794124,-1.6325116659989423
79,California State University at Fresno,No,4368,61,Low,0.9360433396990524,-1.9916231295773121,0.8838387934629802,-0.6126695683392138,0.4496014388117548,0.9857796287851024,0.6902976719925955,1.7059353653945981,-1.3233835886260938,-0.40033092882006943,-0.14541295664005874,-1.6325116659989423
80,Calvin College,Yes,3710,81,Medium,0.09506067768965615,0.31333619614396924,-0.5471730267600207,0.07569594286834219,-1.0385747644227592,0.009474619732121702,-0.06009188335680806,0.23285911133526935,1.1929497028195202,-0.20850617036810626,0.6843510875872699,0.6125530498969481
81,Campbell University,Yes,2790,63,Low,0.2403207268816396,-0.26378841421379556,0.8547042417087161,-0.6598175891537096,0.4496014388117548,-1.7565250579131289,-0.3534735225728778,1.8344440104278015,0.8951255085680089,-2.6719505748104586,-0.7165326189339857,0.6125530498969481
82,Campbellsville College,Yes,3070,49,Low,-0.616653093491111,0.0762022459001068,-0.37041286417202823,-1.146268337058075,0.4496014388117548,0.15797762173098784,-1.0407110988557453,0.9259436201670278,-0.601645107695158,-1.3209395744715187,-0.37215844829040096,0.6125530498969481
83,Canisius College,Yes,5340,64,Medium,0.5249273189467986,-0.5849046607537622,0.16111826630539083,0.20318825005072985,-1.0385747644227592,-0.13137917435120042,0.8746535950171559,0.18319470580243497,0.47121122188858366,-0.14435910867892604,0.1478604890855732,0.6125530498969481
84,Capital University,Yes,4000,83,High,0.07552786174446517,0.5776799288914051,0.6946674556874312,0.7230844371695306,-0.22919460395165178,-0.8317407990918481,-0.8700943318940553,-0.46182603876526157,0.5306181538634841,0.3219138639314783,0.30027162076363334,0.6125530498969481
85,Capitol College,Yes,2812,52,Low,-2.890451467319522,-1.204141438433242,-0.011592516330413196,-0.4101964618018937,-2.048308048513365,1.2057442275076538,-1.7549633934685398,-0.46182603876526157,0.34549454598816776,-0.1430049917869924,1.0412427498106844,0.6125530498969481
86,Carleton College,Yes,3957,91,High,0.473209461846349,2.0648660712522746,-1.790608974018603,1.8825403099845797,0.12366360001576766,-1.5715860927236942,0.9692990979140862,-0.9305096236198228,1.8025827916211208,1.6292275500284847,-1.0938796962541568,0.6125530498969481
87,Carnegie Mellon University,Yes,5690,74,High,1.4914315389773478,1.6144757210802636,-0.09208974967983095,1.6482060371691567,-0.6142542984789046,0.07669669114387123,0.9692990979140862,-1.2795288599936452,0.7487430981377603,2.1190355408080124,-1.0273467246948385,0.6125530498969481
88,Carroll College,Yes,3880,79,Medium,-0.31214470804948447,-0.33923404372499044,0.5123408454749716,0.5385467061091938,-0.37900648471193393,-0.5285949292479312,-0.06009188335680806,0.9490194931800559,0.4095619963667674,-0.2511599874471064,0.7304482791491357,0.6125530498969481
89,Carson-Newman College,Yes,3150,67,Low,-0.36679229339112107,0.198039873680471,-0.21316481794747635,-0.4818208158084279,-1.0385747644227592,-1.7565250579131289,-1.2494530951634284,-0.06921364143108526,-0.28448920152158647,-0.6294214451008259,0.8215336163709752,0.6125530498969481
90,Carthage College,Yes,3775,62,High,0.002620309848811185,-0.26378841421379556,0.35117327975637436,0.7389835842826057,-0.22919460395165178,0.15797762173098784,0.6005650532112241,0.5014836937996885,0.20928980457225407,-0.36321439786750864,0.9259068230464086,0.6125530498969481
91,Case Western Reserve University,Yes,4730,67,High,0.7978939756724706,1.9518471386888567,0.2700563422632836,1.2520873745932646,-0.04910428901620779,0.3999140298676019,1.1635803366973685,-3.5503244572416155,0.643318740239679,1.7887353624962758,0.45645951144347224,0.6125530498969481
92,Castleton State College,No,4690,79,Low,-0.23520038799810536,-1.3330274833513371,-0.08571688992271739,-0.6277122745785018,-1.0385747644227592,-1.0977621252034493,0.7816568116943878,0.20805976907672355,-1.3233835886260938,-0.813455320438822,0.006016929190115975,-1.6325116659989423
93,Catawba College,Yes,4100,55,Low,-0.37831063162533024,-0.8676768730139962,-0.8449738010651707,-0.17134355406046006,0.4496014388117548,0.9113698004143933,0.017034841871698108,-0.0948453587869114,0.5306181538634841,0.0026394733212206506,0.4464345790914661,0.6125530498969481
94,Catholic University of America,Yes,6408,75,High,0.07925709367934926,0.012544204192919675,-0.28859288192475935,0.8614061931799915,-0.042057320864051166,-0.1865912067306211,1.2632379969775114,-1.2497929358770412,-0.10280094841912382,0.9750488092760305,0.6006836808804094,0.6125530498969481
95,Cazenovia College,Yes,4840,65,Low,0.7910550476884727,-1.3330274833513371,-1.790608974018603,-0.14115332886810553,0.4496014388117548,-1.7565250579131289,-1.854952083311673,0.10819887684225507,0.060686441260878146,-0.2400428843878455,0.9894342714136745,0.6125530498969481
96,Cedar Crest College,Yes,5285,74,High,-0.7041618001642574,0.0762022459001068,0.5368781036420706,0.9886251869582496,-0.22919460395165178,-0.3812772017711419,0.09569733284866458,-0.5696679334896112,1.113250452842285,0.6451483961368951,0.24004471058144863,0.6125530498969481
97,Cedarville College,Yes,4410,64,Low,-0.1979895509370995,0.0762022459001068,-0.8314593967701942,-0.7230681594635859,0.25701902020397904,-0.3812772017711419,-1.6826681864267155,0.35589122750062596,0.8951255085680089,-0.5511929264538092,0.5920935695045492,0.6125530498969481
98,Centenary College,Yes,5400,24,Medium,-1.4599267852446847,-0.9727316677869279,0.2865138104912049,0.3569790488367368,-0.22919460395165178,-0.9342388053548688,0.257675656251106,-1.1906916694765606,0.060686441260878146,0.328556812105852,0.6707112839445158,0.6125530498969481
99,Centenary College of Louisiana,Yes,3490,66,Low,-1.1563673825857483,0.6270233788095003,-1.1623087972167594,-0.2574130404925577,0.4496014388117548,0.9567527520585001,0.8746535950171559,-0.678954128340758,0.4095619963667674,0.35435151159404005,0.8832096551423001,0.6125530498969481
100,Center for Creative Studies,Yes,6643,47,Medium,-0.9593874737028965,-3.3612688093227097,-0.0269627781192057,0.31732516147642037,6.0530181682508815,-1.337264617201809,-1.4375163915219222,-2.0362031548706714,-2.2835393318336408,1.0192856974958828,-0.5987779015149586,0.6125530498969481
